workspace,channel,flagged,is_new_channel,members,topic_now,topic_new,topic_action,description_now,description_new,description_action,note
community,rladies_announcements,0,0,5374,R-Ladies announcements and introductions,Community-wide announcements,edit,This channel is for workspace-wide communication and announcements. All members are in this channel.,Workspace-wide communication and announcements from the RLadies+ global team. Everyone in the workspace is here.,edit,brand mention updated
community,general,0,0,5359,general talk room,General chat,edit,,General conversation that doesn't fit one of the more focused channels.,new,filled empty description
community,welcome,0,0,5319,"Introduce yourself! How do you use R in your life, and what are you looking for from R Ladies?","Introduce yourself! How do you use R, and what are you hoping to get from RLadies+?",edit,A place to welcome new people and for new people to introduce themselves.,,keep,brand mention updated
community,random,0,0,5346,Non-work banter and water cooler conversation,,keep,"A place for non-work-related flimflam, faffing, hodge-podge or jibber-jabber you'd prefer to keep out of more focused work-related channels.",,keep,
community,help-how_to_slack,0,0,5270,,How to use this Slack,new,"If you find Slack confusing, ask here. / Best practice for how to use slack.",Find Slack confusing? Ask here. Tips and best practices for getting around this workspace.,edit,filled empty topic
community,help-r,0,0,5347,,"Get help with R — questions, errors, code",new,Q & A for R-related matters,"Questions and answers on anything R: errors, packages, tutorials, and code that won't cooperate.",edit,filled empty topic
community,jobs,0,0,5218,,Job postings & career opportunities,new,post jobs or discuss career-related matters,Post job openings and discuss career matters. Looking for a role? Share what you're after.,edit,filled empty topic
community,career-advice,0,0,2799,"Whether you're trying to advance your current career or pick a new one, an R-Lady can help!","Advancing your career, or picking a new one",edit,,"Career questions, transitions, salary talk, and advice from people who have been there.",new,filled empty description; brand mention updated
community,shameless-promo,0,0,2720,,Share your work,new,Promotion of the work of R-Ladies worldwide. Your work or the work of others,Promote work from across the RLadies+ community — your own or someone else's.,edit,filled empty topic
community,igotnews,0,0,5165,,Share good news & celebrate wins,new,"a place for announcements of the type ""I got awesome news/a new job/etc"" and ""somebody did this great thing, everybody check it out""",A place for announcements like 'I got a new job' and 'somebody did this great thing — go and look!',edit,filled empty topic
community,events_global,0,0,5213,Events,Global events & conferences,edit,"Post info about GLOBAL conferences, congress and events; Organizing meeting up at GLOBAL conferences.","Post info about global conferences and events, and organise meeting up at them.",edit,topic was the single word 'Events ' with a trailing space
community,events_africa,0,0,79,,Events in Africa,new,Announce events for Africa.,Announce and discover RLadies+ events across Africa.,edit,filled empty topic
community,events_asia,0,0,71,,Events in Asia,new,Announce events for Asia.,Announce and discover RLadies+ events across Asia.,edit,filled empty topic
community,events_europe,0,0,307,,Events in Europe,new,Announce events for Europe.,Announce and discover RLadies+ events across Europe.,edit,filled empty topic
community,events_latam,0,0,141,,Events in Latin America,new,Announce events for Latin America region.,Announce and discover RLadies+ events across Latin America.,edit,filled empty topic
community,events_northam,0,0,301,,Events in North America,new,Announce events for North America region.,Announce and discover RLadies+ events across North America.,edit,filled empty topic
